Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,2.276892822265625,0.54765625,81.83,98.76
2,2.104835498046875,0.8048828125,85.48,99.22999999999999
3,1.94383349609375,0.8177734375,85.79,99.28
4,1.7901026245117186,0.8234375,86.14,99.27
5,1.6453435913085936,0.827734375,86.48,99.36
6,1.5264832397460937,0.826953125,86.76,99.4
7,1.4076302368164062,0.8306640625,86.82,99.42
8,1.3089115600585937,0.8337890625,86.99,99.45
9,1.2117838012695312,0.8359375,87.26,99.46000000000001
10,1.131532421875,0.8390625,87.41,99.46000000000001
11,1.0672546203613282,0.84296875,87.49,99.46000000000001
12,1.005602587890625,0.8388671875,87.64,99.45
13,0.9500197448730469,0.8365234375,87.71,99.48
14,0.8984172485351563,0.8416015625,87.82,99.51
15,0.8549085266113281,0.8427734375,87.97,99.49
16,0.8200267700195313,0.84453125,88.26,99.53999999999999
17,0.7792005554199218,0.8541015625,88.24,99.55000000000001
18,0.7483485656738281,0.8486328125,88.44,99.57000000000001
19,0.7218421264648438,0.8474609375,88.46000000000001,99.56
20,0.7066283020019531,0.8447265625,88.6,99.56
21,0.6869722595214843,0.8486328125,88.77000000000001,99.6
22,0.6524607238769531,0.857421875,88.79,99.62
23,0.6489897338867188,0.8462890625,88.8,99.6
24,0.6314883422851563,0.84921875,88.96,99.63
25,0.6213677185058594,0.8412109375,89.0,99.63
26,0.5884378112792968,0.8541015625,89.1,99.64
27,0.5791939056396485,0.8564453125,89.18,99.64
28,0.5704982269287109,0.850390625,89.23,99.64
29,0.5652664306640625,0.8533203125,89.24,99.65
30,0.5574313415527343,0.8544921875,89.44,99.65
31,0.5422569488525391,0.8564453125,89.53999999999999,99.63
32,0.5246274353027344,0.85390625,89.5,99.65
33,0.5230679260253907,0.853125,89.59,99.65
34,0.5118378112792968,0.85546875,89.63,99.66000000000001
35,0.5091105102539063,0.86171875,89.68,99.65
36,0.5041602172851563,0.8583984375,89.73,99.66000000000001
37,0.4912114501953125,0.85078125,89.75999999999999,99.65
38,0.4848287719726562,0.8578125,89.79,99.66000000000001
39,0.48107745056152346,0.8578125,89.81,99.66000000000001
40,0.47620043640136717,0.8599609375,89.82,99.65
