Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,2.27083779296875,0.5068359375,79.05,98.77
2,2.0853037353515624,0.7681640625,84.24000000000001,99.17
3,1.9055260620117187,0.802734375,85.5,99.35000000000001
4,1.74425009765625,0.8166015625,86.04,99.38
5,1.596411279296875,0.8146484375,86.47,99.42999999999999
6,1.4704904418945313,0.8208984375,86.67,99.41
7,1.3459709350585938,0.8263671875,86.86,99.42
8,1.2570922973632812,0.8205078125,86.89,99.45
9,1.162460107421875,0.8220703125,87.1,99.45
10,1.0839553588867188,0.827734375,87.21,99.46000000000001
11,1.01914765625,0.82421875,87.4,99.45
12,0.9596202087402343,0.8291015625,87.46000000000001,99.47
13,0.9079275512695313,0.83125,87.68,99.49
14,0.8711911987304688,0.82578125,87.74,99.49
15,0.8227087585449219,0.830078125,87.86,99.47
16,0.7855140502929687,0.8369140625,87.9,99.49
17,0.747322314453125,0.833203125,88.14999999999999,99.53
18,0.7224294860839844,0.8359375,88.26,99.53
19,0.7011108032226563,0.835546875,88.32,99.53
20,0.6923223693847657,0.83515625,88.35,99.55000000000001
21,0.6634254211425781,0.8357421875,88.48,99.56
22,0.6482876403808594,0.8390625,88.58,99.55000000000001
23,0.6335797241210938,0.8380859375,88.59,99.57000000000001
24,0.6028436889648437,0.84140625,88.68,99.57000000000001
25,0.58561376953125,0.8451171875,88.73,99.59
26,0.5783607971191407,0.847265625,88.77000000000001,99.62
27,0.5834462158203125,0.8361328125,88.78,99.6
28,0.5765899841308594,0.838671875,88.9,99.62
29,0.5622577087402344,0.8416015625,88.89,99.62
30,0.5719920654296875,0.8373046875,88.97,99.66000000000001
31,0.5535510681152344,0.84140625,89.03999999999999,99.65
32,0.5366130065917969,0.8490234375,89.05,99.64
33,0.5281268890380859,0.844140625,89.21,99.64
34,0.5194009307861328,0.841796875,89.21,99.64
35,0.502426318359375,0.8486328125,89.25,99.64
36,0.5039935302734375,0.84609375,89.29,99.65
37,0.4962027801513672,0.8482421875,89.3,99.64
38,0.4905344696044922,0.8501953125,89.32,99.65
39,0.48663898620605467,0.8498046875,89.35,99.67
40,0.4929029815673828,0.8486328125,89.34,99.64
41,0.48812677307128904,0.84453125,89.41,99.65
42,0.49030497436523435,0.84609375,89.4,99.65
43,0.4588285369873047,0.85859375,89.47,99.65
44,0.4722462310791016,0.8486328125,89.60000000000001,99.66000000000001
45,0.4585952606201172,0.85234375,89.66,99.65
46,0.4576949768066406,0.85234375,89.7,99.65
47,0.45448232116699216,0.8525390625,89.74,99.68
48,0.4498554656982422,0.857421875,89.75999999999999,99.69
49,0.4467795074462891,0.855859375,89.8,99.69
50,0.44587844543457034,0.856640625,89.77000000000001,99.71
51,0.45365513000488283,0.8490234375,89.75999999999999,99.7
52,0.4394474456787109,0.8505859375,89.78,99.71
53,0.4563968231201172,0.8525390625,89.86,99.72999999999999
54,0.4392815155029297,0.853125,89.89,99.7
55,0.45009300537109376,0.8484375,90.01,99.72
56,0.43939683532714846,0.8544921875,90.03,99.7
57,0.43182900390625,0.8505859375,90.05,99.71
58,0.43423202209472656,0.8529296875,90.13,99.72999999999999
59,0.4218475921630859,0.856640625,90.03,99.74
60,0.42084925231933595,0.8587890625,90.09,99.75
61,0.4202347869873047,0.851171875,90.14999999999999,99.74
62,0.41628711853027345,0.8541015625,90.21000000000001,99.72999999999999
63,0.4208639068603516,0.8568359375,90.14,99.75
64,0.4139273712158203,0.8568359375,90.14999999999999,99.77000000000001
65,0.4058705780029297,0.861328125,90.11,99.75
66,0.41685181884765626,0.8546875,90.11,99.75
67,0.4071817321777344,0.855859375,90.21000000000001,99.75
68,0.3953902587890625,0.8591796875,90.23,99.76
69,0.4123058990478516,0.8548828125,90.23,99.75
70,0.39588641052246093,0.8607421875,90.24,99.76
71,0.40107156372070313,0.85625,90.29,99.75
