Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,2.2948045654296876,0.140625,31.230000000000004,88.2
2,2.025994934082031,0.40625,50.41,91.47999999999999
3,1.8186046752929688,0.556640625,58.98,94.31
4,1.6149764404296876,0.63671875,64.02,96.37
5,1.4843883666992188,0.654296875,67.86,97.25
6,1.3397476806640625,0.7109375,69.56,97.52
7,1.2260653686523437,0.712890625,70.27,97.54
8,1.13525390625,0.72265625,70.85000000000001,97.46000000000001
9,1.072877197265625,0.70703125,70.95,97.5
10,0.9795807800292968,0.73046875,70.96000000000001,97.66
11,0.9250005187988282,0.748046875,71.11,97.75
12,0.8988570251464844,0.75390625,71.28,97.8
13,0.8983812255859375,0.724609375,71.38,97.85000000000001
1,2.3375499267578124,0.162109375,39.42,80.39
2,2.0767720947265627,0.458984375,53.13,90.3
3,1.8528887939453125,0.580078125,59.519999999999996,94.07
4,1.6553838500976563,0.638671875,65.0,96.0
5,1.4737847900390626,0.67578125,68.27,97.11
6,1.3601593017578124,0.69921875,69.59,97.55
7,1.252821044921875,0.716796875,69.78,97.65
8,1.1424725341796875,0.71484375,70.16,97.67
9,1.0675833129882812,0.705078125,70.58,97.65
10,1.0224780883789062,0.736328125,70.95,97.69
11,0.9476689453125,0.736328125,71.69,97.83
12,0.9434292297363281,0.70703125,72.13000000000001,97.87
13,0.8762207641601563,0.75,72.36,98.00999999999999
14,0.8685143127441406,0.73046875,72.6,98.0
15,0.8447178649902344,0.736328125,72.66,98.06
16,0.8040163269042969,0.755859375,72.94,98.02
17,0.7864838562011719,0.720703125,73.02,98.02
18,0.7965769958496094,0.73828125,73.2,98.13
19,0.7432114562988281,0.75390625,73.36,98.11
20,0.7384446105957031,0.74609375,73.42,98.15
21,0.7323993225097656,0.740234375,73.68,98.1
22,0.7521485595703125,0.75,73.83,98.11
23,0.7091464538574219,0.771484375,74.07000000000001,98.17
24,0.7234501647949219,0.763671875,74.11,98.22999999999999
25,0.7345731201171875,0.76953125,74.36,98.29
26,0.6896289672851562,0.755859375,74.44,98.27
27,0.69756787109375,0.775390625,74.53,98.29
28,0.726819091796875,0.740234375,74.64,98.22999999999999
29,0.6624265747070313,0.771484375,74.86,98.25
30,0.6833241271972657,0.775390625,74.86,98.27
31,0.6661764221191406,0.765625,74.85000000000001,98.22999999999999
32,0.6792611083984375,0.779296875,74.79,98.25
33,0.6437721252441406,0.794921875,74.92,98.25
34,0.655068359375,0.767578125,74.88,98.29
35,0.662137451171875,0.75,74.97,98.28
36,0.5737921752929688,0.796875,75.1,98.31
37,0.6380084228515625,0.783203125,75.35,98.29
38,0.6462177429199218,0.7734375,75.33,98.33
39,0.6383085327148438,0.759765625,75.22999999999999,98.31
40,0.6214996948242187,0.78125,75.28,98.29
41,0.6451998291015625,0.76953125,75.26,98.25
42,0.6543715515136719,0.76953125,75.39,98.26
43,0.5914652099609375,0.791015625,75.49,98.28
44,0.5773670043945313,0.798828125,75.51,98.31
45,0.5965315856933594,0.8046875,75.51,98.31
46,0.5952500305175781,0.77734375,75.57000000000001,98.31
47,0.609772216796875,0.78125,75.77000000000001,98.33
48,0.5842975158691406,0.79296875,75.72,98.3
49,0.5750893249511718,0.80859375,75.83,98.36
50,0.5224697723388672,0.79296875,75.84,98.41
51,0.6274334106445313,0.7734375,75.78,98.4
52,0.5653690795898437,0.791015625,75.94,98.38
53,0.569214599609375,0.794921875,75.75,98.33
54,0.6037312316894531,0.787109375,75.58,98.28
55,0.5537727661132813,0.8046875,75.48,98.26
56,0.56374560546875,0.796875,75.44999999999999,98.26
57,0.54510107421875,0.79296875,75.6,98.37
58,0.5395317687988281,0.80078125,75.74,98.38
59,0.5434220581054687,0.810546875,75.8,98.35000000000001
60,0.5116161804199219,0.794921875,75.77000000000001,98.35000000000001
61,0.6141791687011718,0.79296875,75.79,98.33
62,0.5910929870605469,0.791015625,75.73,98.35000000000001
63,0.60021728515625,0.78125,75.79,98.34
64,0.5773788146972656,0.8125,75.86,98.36
65,0.5684692993164062,0.79296875,75.85,98.35000000000001
66,0.5523124389648437,0.80078125,75.82,98.31
67,0.52052490234375,0.81640625,75.85,98.34
68,0.5967052917480469,0.7890625,75.89,98.38
69,0.5723009033203125,0.80859375,75.81,98.36
70,0.5135113067626953,0.82421875,75.76,98.37
71,0.5600426940917969,0.814453125,75.91,98.36
72,0.5696520080566406,0.80078125,76.12,98.31
73,0.5433700866699219,0.818359375,76.03999999999999,98.34
74,0.5008295135498047,0.81640625,76.14999999999999,98.4
75,0.5579184112548828,0.806640625,76.12,98.39
76,0.5041759490966797,0.8359375,76.06,98.4
77,0.5194117889404297,0.81640625,75.89,98.41
78,0.5616124572753907,0.8125,75.82,98.37
79,0.49163116455078126,0.826171875,75.73,98.33
80,0.48506256103515627,0.814453125,75.8,98.34
81,0.5000280303955078,0.828125,76.05,98.4
82,0.4785504913330078,0.8359375,76.13,98.39
83,0.5340172729492187,0.80859375,76.1,98.36
84,0.5371190490722656,0.8125,76.23,98.39
85,0.5054421691894532,0.822265625,76.14,98.34
86,0.53457177734375,0.833984375,76.21,98.31
87,0.5065877380371093,0.830078125,76.23,98.33
88,0.4740126190185547,0.841796875,76.03999999999999,98.34
89,0.5487972412109375,0.810546875,75.98,98.28
90,0.5199110412597656,0.802734375,76.05,98.32
91,0.43691091918945313,0.849609375,75.98,98.33
92,0.5157755126953125,0.828125,76.09,98.4
93,0.4608456115722656,0.8359375,76.12,98.36
94,0.47950273132324217,0.8359375,76.4,98.34
95,0.4877107391357422,0.83203125,76.3,98.33
96,0.5017435302734375,0.8125,76.34,98.34
97,0.5226439819335937,0.810546875,76.37,98.32
98,0.4740867156982422,0.83203125,76.31,98.29
99,0.48395924377441407,0.830078125,76.27000000000001,98.24000000000001
100,0.47746046447753904,0.833984375,76.27000000000001,98.22999999999999
101,0.4745809326171875,0.845703125,76.22,98.24000000000001
102,0.43240420532226564,0.83984375,76.16000000000001,98.25
103,0.49956149291992186,0.8359375,76.28,98.28
104,0.5084319610595703,0.822265625,76.28,98.29
105,0.4929248046875,0.814453125,76.21,98.33
106,0.4761051177978516,0.84375,76.16000000000001,98.33
107,0.4364515838623047,0.853515625,76.19,98.33
108,0.4999246673583984,0.84375,76.37,98.28
109,0.49523077392578124,0.83203125,76.35,98.3
110,0.46099684143066405,0.84765625,76.41,98.27
111,0.4936936340332031,0.826171875,76.4,98.27
112,0.5086669311523437,0.8359375,76.32,98.22999999999999
113,0.4893538513183594,0.830078125,76.12,98.28
114,0.5151100463867188,0.81640625,76.25999999999999,98.29
115,0.46351409912109376,0.837890625,76.28,98.22999999999999
116,0.4627103881835937,0.833984375,76.24,98.2
117,0.45806175231933594,0.82421875,76.34,98.16
118,0.4815489196777344,0.837890625,76.44999999999999,98.2
119,0.4636219940185547,0.84375,76.5,98.2
120,0.4441852111816406,0.833984375,76.34,98.28
121,0.4473763580322266,0.837890625,76.41,98.22999999999999
122,0.4498488616943359,0.853515625,76.44,98.19
123,0.5045855865478516,0.828125,76.27000000000001,98.17
124,0.43581069946289064,0.865234375,76.25,98.2
125,0.4164779510498047,0.859375,76.13,98.21
126,0.4507189025878906,0.845703125,76.19,98.18
127,0.45442425537109377,0.8359375,76.29,98.2
