Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,1.5177345263671875,0.7310666454081632,81.93,99.11
2,0.848236792602539,0.7893415178571429,83.61,99.33
3,0.6798470593261718,0.8022560586734694,84.67,99.42999999999999
4,0.6143348513793946,0.8088727678571429,85.46000000000001,99.51
5,0.5742804638671875,0.8149713010204082,86.42,99.61
6,0.5541383984375,0.8208705357142857,86.66,99.61
7,0.539326484375,0.8217474489795918,86.9,99.62
8,0.5245237622070312,0.8243781887755102,87.01,99.59
9,0.5181235189819335,0.8244977678571429,87.2,99.66000000000001
10,0.5179855801391602,0.8247369260204082,87.37,99.68
11,0.5045965466308594,0.8278061224489796,87.58,99.7
12,0.4981724328613281,0.8278459821428571,87.57000000000001,99.67
13,0.5006591213989258,0.8311144770408163,87.64,99.68
14,0.49397236267089845,0.8314333545918368,87.9,99.69
15,0.4911151623535156,0.8311144770408163,87.85,99.7
16,0.4958229864501953,0.8294403698979592,87.96000000000001,99.71
17,0.4826326416015625,0.8320711096938775,87.92999999999999,99.7
18,0.4831576501464844,0.8333864795918368,88.09,99.7
19,0.47842893646240237,0.8356584821428571,88.18,99.7
20,0.47524043365478513,0.8364556760204082,88.22,99.72
21,0.482097614440918,0.8337053571428571,88.34,99.72999999999999
22,0.47396947662353517,0.8372927295918368,88.33,99.74
23,0.4722624853515625,0.8358577806122449,88.48,99.68
24,0.47077457977294923,0.8361766581632653,88.56,99.72
25,0.46886598388671874,0.837531887755102,88.34,99.72999999999999
26,0.47186174530029296,0.8361766581632653,88.44,99.72
27,0.467368860168457,0.8382892219387755,88.38000000000001,99.72
28,0.46853431915283206,0.8351801658163265,88.58,99.72999999999999
29,0.46388928955078124,0.8391661352040817,88.53999999999999,99.75
30,0.46598293060302737,0.8400031887755102,88.38000000000001,99.72
31,0.465765299987793,0.8380102040816326,88.63,99.72
32,0.4610749404907227,0.8427136479591837,88.64999999999999,99.72
33,0.4693758731079102,0.8368941326530612,88.52,99.72
34,0.45184430877685544,0.8432318239795918,88.58,99.77000000000001
35,0.4563156491088867,0.8404815051020408,88.75,99.71
36,0.4574420489501953,0.8402822066326531,88.6,99.72999999999999
37,0.45436202362060546,0.84375,88.64,99.72
38,0.46494819244384766,0.841796875,88.61,99.77000000000001
