Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,2.344416748046875,0.134765625,34.699999999999996,82.6
2,2.287581298828125,0.359375,51.41,93.47999999999999
3,2.240111572265625,0.5078125,57.76,95.07
4,2.1923673095703125,0.5390625,61.09,95.28
5,2.1433651123046875,0.560546875,63.77,95.39999999999999
6,2.0931611328125,0.623046875,65.46,95.55
7,2.0469878540039064,0.609375,66.73,95.96000000000001
8,1.999218505859375,0.662109375,67.73,96.13000000000001
9,1.9701392822265624,0.630859375,68.43,96.28999999999999
10,1.9260870971679687,0.65625,68.92,96.65
11,1.8756657104492187,0.662109375,69.6,96.95
12,1.8403345336914063,0.662109375,70.19999999999999,97.21
13,1.787502197265625,0.6875,70.75,97.48
14,1.7643251342773438,0.697265625,71.11,97.61
15,1.73292041015625,0.6953125,71.44,97.78999999999999
16,1.7010921020507812,0.697265625,71.97,97.86
17,1.682058837890625,0.69921875,72.46000000000001,97.89
18,1.6282591552734376,0.724609375,72.6,97.99
19,1.6014581298828126,0.7109375,72.75,98.00999999999999
20,1.5680477905273438,0.6953125,72.76,98.05
21,1.5317843017578125,0.7109375,72.87,98.05
22,1.5224573974609374,0.72265625,73.03,98.07000000000001
23,1.4735484619140624,0.73828125,73.05,98.06
24,1.4479608154296875,0.705078125,73.17,98.04
25,1.431396240234375,0.732421875,73.11999999999999,98.00999999999999
26,1.4074686889648438,0.732421875,73.16,98.05
27,1.4054033203125,0.703125,73.36,98.06
28,1.345914794921875,0.724609375,73.4,98.05
29,1.3749987182617187,0.677734375,73.50999999999999,98.06
30,1.3208909912109374,0.7265625,73.6,98.07000000000001
31,1.2990526733398438,0.732421875,73.66,98.07000000000001
32,1.2781510009765624,0.724609375,73.77,98.06
33,1.2753433837890624,0.712890625,73.88,98.07000000000001
34,1.2416338500976563,0.74609375,73.91,98.07000000000001
35,1.2314462280273437,0.73046875,74.03,98.07000000000001
36,1.2160140380859374,0.732421875,73.99,98.05
37,1.2094375,0.720703125,74.19,98.08
38,1.2158726806640625,0.71484375,74.39,98.08
39,1.1611809692382813,0.728515625,74.39,98.1
40,1.1515125732421876,0.736328125,74.55000000000001,98.11999999999999
41,1.1373544311523438,0.740234375,74.52,98.13
42,1.1299223022460938,0.7265625,74.59,98.15
43,1.1191649169921876,0.71484375,74.66000000000001,98.14
44,1.1031958618164062,0.728515625,74.76,98.15
45,1.084727294921875,0.73828125,74.8,98.13
46,1.0397503051757813,0.755859375,74.77000000000001,98.14
47,1.0830878295898438,0.705078125,74.82,98.14
48,1.0659310913085938,0.712890625,74.96000000000001,98.16
49,1.0855897216796875,0.703125,74.98,98.16
50,1.0190770874023438,0.744140625,74.98,98.18
51,1.065558837890625,0.720703125,75.01,98.18
52,1.02611572265625,0.73828125,75.07000000000001,98.16
53,1.0322607421875,0.72265625,75.07000000000001,98.2
54,0.99901513671875,0.748046875,75.25,98.21
55,0.9598534240722656,0.755859375,75.36,98.25
56,0.9618797912597656,0.75390625,75.49,98.25
57,0.9612701416015625,0.7578125,75.55,98.21
58,0.9686933898925781,0.748046875,75.57000000000001,98.25
59,0.9377784729003906,0.740234375,75.66000000000001,98.26
60,0.9236412048339844,0.7734375,75.69,98.24000000000001
61,0.9444437561035156,0.73828125,75.71,98.28
62,0.9563914794921875,0.740234375,75.76,98.27
63,0.9408648986816406,0.763671875,75.66000000000001,98.26
64,0.9127517700195312,0.755859375,75.73,98.28
65,0.9151358337402343,0.74609375,75.81,98.27
66,0.9293137512207031,0.724609375,75.83,98.27
67,0.9188303527832031,0.75390625,75.78,98.28
68,0.9245493774414062,0.763671875,75.86,98.28
69,0.8872627868652344,0.75390625,75.88000000000001,98.3
70,0.8898120422363281,0.7578125,75.99000000000001,98.33
71,0.8749187622070312,0.755859375,76.03999999999999,98.31
72,0.90409228515625,0.765625,76.03999999999999,98.31
73,0.9168570556640625,0.74609375,76.07000000000001,98.33
74,0.8737606811523437,0.775390625,76.08,98.31
75,0.8649799194335938,0.74609375,76.14,98.34
76,0.8296739501953125,0.77734375,76.24,98.36
77,0.8470795593261718,0.748046875,76.23,98.36
