Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,1.4103256640625,0.7448182397959183,84.25,99.21
2,0.7449345404052734,0.8064413265306123,86.29,99.41
3,0.6056621084594727,0.8186782525510204,87.1,99.51
4,0.5536240310668945,0.8252949617346939,87.74,99.6
5,0.5201867083740235,0.829719387755102,87.98,99.57000000000001
6,0.49948712677001955,0.8351403061224489,88.12,99.56
7,0.4972804135131836,0.8337452168367347,88.49000000000001,99.62
8,0.47463100158691407,0.8385283801020408,88.53999999999999,99.65
9,0.47772712219238284,0.8379703443877551,89.03,99.66000000000001
10,0.47051435638427735,0.8390864158163265,89.11,99.62
11,0.46677566345214844,0.8418765943877551,89.19,99.67
12,0.46524804809570314,0.8395248724489796,89.28,99.66000000000001
13,0.4585656759643555,0.8429528061224489,89.33,99.65
14,0.4520771807861328,0.8443478954081632,89.18,99.64
15,0.4457326837158203,0.8473373724489796,89.22,99.65
16,0.4539609805297852,0.8437101403061225,89.37,99.69
17,0.4480013989257812,0.8451849489795918,89.51,99.66000000000001
18,0.44635266021728515,0.8467394770408163,89.5,99.69
19,0.4386039205932617,0.8463408801020408,89.53,99.69
20,0.4428773583984375,0.8457429846938775,89.75,99.71
21,0.44096637390136717,0.845344387755102,89.74,99.68
22,0.43646499389648435,0.8483737244897959,89.78,99.7
23,0.4437001205444336,0.8439891581632653,89.79,99.7
24,0.44205290466308594,0.84765625,89.82,99.71
25,0.43328314056396483,0.8492107780612245,89.64,99.71
26,0.4332895944213867,0.8495296556122449,89.85,99.74
27,0.43521616973876953,0.8509247448979592,89.75,99.7
28,0.42951470489501953,0.8536750637755102,89.83,99.72999999999999
29,0.43593433807373044,0.8490513392857143,89.92999999999999,99.76
30,0.43227416564941407,0.8507254464285714,89.7,99.72999999999999
31,0.42905377227783204,0.8514030612244898,89.91,99.76
32,0.4254357034301758,0.8506457270408163,89.91,99.75
33,0.42760639862060545,0.851203762755102,89.99000000000001,99.75
34,0.41305164306640624,0.8554288903061225,89.91,99.75
35,0.42105276794433594,0.8534359056122449,89.94,99.72
36,0.4244406854248047,0.8516422193877551,89.84,99.76
37,0.4209355450439453,0.8515625,89.99000000000001,99.76
38,0.4107153411865234,0.8551498724489796,89.79,99.76
39,0.42485154296875,0.8525589923469388,89.92999999999999,99.77000000000001
40,0.4243099612426758,0.8533561862244898,89.97,99.78
41,0.4247410827636719,0.8515625,89.99000000000001,99.77000000000001
42,0.4187670681762695,0.8521603954081632,89.99000000000001,99.76
43,0.42057527770996095,0.8542729591836735,90.11,99.77000000000001
44,0.4132586218261719,0.8572225765306123,90.01,99.75
45,0.4153593420410156,0.8571428571428571,90.05,99.75
46,0.4142927789306641,0.8559869260204082,89.88000000000001,99.74
47,0.4120768133544922,0.8556281887755102,90.05,99.76
48,0.4137016897583008,0.8543925382653061,90.05,99.75
49,0.4213061004638672,0.8533163265306123,90.12,99.75
50,0.4210969174194336,0.8560666454081632,90.0,99.75
51,0.41558439224243165,0.8577407525510204,90.07,99.76
52,0.41685778350830077,0.855110012755102,90.03,99.72
53,0.4179079455566406,0.8558673469387755,90.11,99.76
54,0.4137770916748047,0.8567442602040817,90.16,99.77000000000001
55,0.4079228051757812,0.8580596301020408,90.11,99.77000000000001
56,0.41350221771240236,0.8557477678571429,90.13,99.81
57,0.4131467349243164,0.8570232780612245,90.10000000000001,99.78
58,0.40661757293701173,0.8586176658163265,90.27,99.8
59,0.40729863067626954,0.8575813137755102,90.27,99.78
60,0.4096795941162109,0.8564652423469388,90.22,99.78
61,0.41355508544921876,0.8553890306122449,89.99000000000001,99.75
62,0.405616809387207,0.8594148596938775,89.97,99.75
63,0.4039526522827148,0.8596938775510204,90.07,99.77000000000001
64,0.4144512954711914,0.8577008928571429,90.09,99.79
65,0.4175849362182617,0.8558673469387755,90.34,99.79
66,0.4140715521240234,0.8560666454081632,90.18,99.78
67,0.41922576171875,0.8541932397959183,90.24,99.78
68,0.41657382080078126,0.8552694515306123,90.02,99.75
69,0.41106719421386717,0.8569036989795918,90.02,99.75
70,0.40403729766845703,0.8599330357142857,90.02,99.8
71,0.39926149322509763,0.8600526147959183,90.27,99.79
72,0.40268368255615233,0.8585778061224489,90.12,99.75
73,0.40288522552490236,0.8588966836734694,90.3,99.79
74,0.40361246551513674,0.8596540178571429,90.31,99.75
75,0.40836330657958986,0.8578603316326531,90.18,99.76
76,0.4111018237304688,0.8542729591836735,90.2,99.79
77,0.40525709075927735,0.8594148596938775,90.31,99.8
78,0.4065023071289062,0.8588568239795918,90.22,99.79
79,0.40372911010742185,0.8604512117346939,90.16,99.78
80,0.4063425204467773,0.8576211734693877,90.25999999999999,99.79
81,0.40865055908203124,0.8574617346938775,90.25999999999999,99.77000000000001
82,0.3998756719970703,0.8586575255102041,90.21000000000001,99.74
83,0.41204935592651365,0.8571428571428571,90.19,99.75
84,0.4077098257446289,0.8576211734693877,90.21000000000001,99.75
85,0.40379362533569335,0.8592554209183674,90.36999999999999,99.76
86,0.4070832177734375,0.8575414540816326,90.25999999999999,99.78
87,0.41157018188476563,0.8561065051020408,90.25999999999999,99.8
88,0.39669818817138675,0.8614477040816326,90.22,99.74
89,0.40834851989746096,0.8583386479591837,90.4,99.78
90,0.40658267456054686,0.8533561862244898,90.19,99.76
91,0.4102222476196289,0.8545918367346939,90.25,99.72999999999999
92,0.4018455770874023,0.8582589285714286,90.23,99.75
93,0.40662167663574217,0.8581792091836735,90.24,99.78
94,0.40077045684814455,0.8585778061224489,90.22,99.78
95,0.40876505096435545,0.8592952806122449,90.14,99.77000000000001
96,0.40691867767333983,0.8569435586734694,90.24,99.75
97,0.4007739294433594,0.859733737244898,90.16999999999999,99.75
98,0.3981718670654297,0.859016262755102,90.36999999999999,99.76
99,0.4048862759399414,0.859016262755102,90.25999999999999,99.77000000000001
100,0.3994736672973633,0.8610889668367347,90.36999999999999,99.79
101,0.40060126373291016,0.8615672831632653,90.23,99.77000000000001
102,0.40632435516357424,0.8594547193877551,90.33,99.76
103,0.4093607461547852,0.8588568239795918,90.25999999999999,99.78
104,0.40136004455566404,0.8602519132653061,90.28,99.79
105,0.39973559173583983,0.8607700892857143,90.31,99.76
106,0.40302302490234376,0.8589764030612245,90.34,99.77000000000001
107,0.4005846252441406,0.8584980867346939,90.42,99.77000000000001
108,0.4017137936401367,0.8594547193877551,90.47,99.76
109,0.40173032073974607,0.8593351403061225,90.42999999999999,99.76
110,0.39664555053710937,0.8619260204081632,90.36,99.75
111,0.4076868896484375,0.8575414540816326,90.21000000000001,99.77000000000001
112,0.4097164273071289,0.8579001913265306,90.25999999999999,99.77000000000001
113,0.39910095642089843,0.8604910714285714,90.39,99.72999999999999
114,0.40929724365234377,0.8574617346938775,90.23,99.76
115,0.4038235803222656,0.8609295280612245,90.49000000000001,99.76
116,0.4003232119750977,0.8618861607142857,90.3,99.76
117,0.39601631805419923,0.8612484056122449,90.46,99.78
118,0.4026835687255859,0.8585778061224489,90.36999999999999,99.76
119,0.40146208923339843,0.8583386479591837,90.25,99.79
120,0.4095121029663086,0.8558673469387755,90.34,99.75
121,0.40288240447998047,0.8592952806122449,90.39,99.77000000000001
122,0.3991303323364258,0.8602519132653061,90.39,99.8
123,0.39708675384521486,0.8618064413265306,90.25,99.76
124,0.40282179870605467,0.8598134566326531,90.32,99.79
