Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,2.152528155517578,0.5099609375,73.14,97.8
2,1.7809974731445313,0.701171875,75.1,98.42999999999999
3,1.4939266845703125,0.7197265625,75.9,98.45
4,1.284067889404297,0.730859375,76.73,98.63
5,1.1423328491210938,0.7353515625,77.25,98.71
6,1.04226337890625,0.7345703125,77.66,98.81
7,0.9689276123046875,0.7447265625,78.27,98.83999999999999
8,0.9122080383300781,0.738671875,78.29,98.91
9,0.8692851257324219,0.7443359375,78.84,98.95
10,0.8343508514404296,0.74140625,78.86,98.98
11,0.8040566162109375,0.7509765625,79.46,98.96000000000001
12,0.7816390502929688,0.7564453125,79.55,98.98
13,0.7740536529541016,0.7490234375,79.92,98.99
14,0.7454375244140625,0.7583984375,79.97,99.0
15,0.7344589904785156,0.7515625,80.12,99.08
16,0.7185797088623047,0.7587890625,80.51,99.07000000000001
17,0.7009241973876953,0.7625,80.61,99.07000000000001
18,0.7097664154052734,0.7619140625,80.78,99.07000000000001
19,0.6898449127197266,0.758984375,80.7,99.08
20,0.6739528381347656,0.7724609375,81.08,99.09
21,0.6696968994140625,0.76640625,81.08,99.1
22,0.6677885559082031,0.7736328125,81.06,99.11
23,0.6533535064697266,0.766015625,81.47999999999999,99.06
24,0.6601824005126953,0.769921875,81.53,99.07000000000001
25,0.6548654815673828,0.7666015625,81.37,99.11999999999999
26,0.6461768737792969,0.7673828125,81.69,99.1
27,0.62639970703125,0.7724609375,81.72,99.14
28,0.6475743041992188,0.7732421875,81.89,99.14
29,0.6315902038574219,0.7791015625,81.84,99.18
30,0.6542871185302734,0.7615234375,81.95,99.15
31,0.6253626983642578,0.771484375,82.26,99.21
32,0.6249656494140625,0.775,82.14,99.19
33,0.624506736755371,0.7796875,82.26,99.22999999999999
34,0.6110371612548828,0.7830078125,82.23,99.2
35,0.6186137176513672,0.77578125,82.32000000000001,99.26
36,0.6104419265747071,0.783203125,82.48,99.26
37,0.6137893890380859,0.7751953125,82.56,99.3
38,0.6208378479003906,0.7734375,82.53,99.29
39,0.6095066192626953,0.7796875,82.64,99.27
40,0.6067344772338867,0.776171875,82.61,99.24
41,0.6035795516967773,0.7814453125,82.8,99.25
42,0.6121479583740235,0.774609375,82.62,99.25
43,0.5817625762939453,0.7876953125,82.64,99.22
44,0.5972130798339844,0.782421875,82.77,99.3
45,0.6055106887817383,0.774609375,82.84,99.3
46,0.5928752883911133,0.783203125,82.92,99.32
47,0.6102481903076172,0.78046875,83.0,99.29
48,0.593578141784668,0.78046875,83.14,99.28
49,0.5892225723266602,0.780859375,83.1,99.24
50,0.574499235534668,0.7904296875,83.06,99.32
51,0.5884210815429688,0.7802734375,83.07,99.3
52,0.580282942199707,0.781640625,83.2,99.26
53,0.5850775939941406,0.7849609375,83.15,99.27
54,0.5912307525634766,0.7849609375,83.27,99.3
55,0.6052440612792969,0.77734375,83.26,99.31
56,0.5717449905395507,0.7880859375,83.13000000000001,99.31
57,0.5857783355712891,0.7880859375,83.34,99.28
58,0.5579441055297851,0.791015625,83.52000000000001,99.33
59,0.5840333923339843,0.7841796875,83.21,99.28
60,0.5671185684204102,0.7912109375,83.37,99.31
61,0.5645490112304687,0.7890625,83.28999999999999,99.31
62,0.574173551940918,0.783984375,83.3,99.33999999999999
63,0.5638322525024414,0.7958984375,83.5,99.33
64,0.5673169357299804,0.7943359375,83.36,99.29
65,0.5564305191040039,0.7978515625,83.26,99.28
66,0.5752743774414063,0.7896484375,83.3,99.3
67,0.5548377456665039,0.8009765625,83.5,99.3
68,0.5571840072631836,0.7912109375,83.5,99.3
69,0.5664985641479492,0.7912109375,83.62,99.3
70,0.5711790847778321,0.7890625,83.61,99.32
71,0.5472257080078125,0.797265625,83.69,99.32
72,0.5553684600830078,0.792578125,83.62,99.3
73,0.5599333602905273,0.793359375,83.73,99.3
74,0.5621684127807617,0.791015625,83.69,99.32
