Epoch,Loss
1,4.823851752929688
2,4.541461141357422
3,4.4301801293945315
4,4.371289111328125
5,4.330082503662109
6,4.2965843359375
7,4.266547170410156
8,4.246383287353516
9,4.228700372314453
10,4.209022320556641
11,4.1990012194824216
12,4.185298594970703
13,4.172639440917969
14,4.168626326904297
15,4.157054533691406
16,4.152030438232422
17,4.148013798828125
18,4.142120445556641
19,4.138541789550781
20,4.1340440466308594
21,4.125556478271484
22,4.122195747070313
23,4.1190583898925786
24,4.112199448242188
25,4.109441208496094
26,4.1050176049804685
27,4.099507907714844
28,4.099316126708985
29,4.09319103515625
30,4.086444836425781
31,4.087469033203125
32,4.085194028320313
33,4.083292638549804
34,4.083673498535156
35,4.076712486572266
36,4.070289362792969
37,4.069226880493164
38,4.070097999877929
39,4.0674062890625
40,4.0688194140625
41,4.065141535034179
42,4.06137305847168
43,4.05831150390625
44,4.0568751953125
45,4.0574808203125
46,4.056245623779297
47,4.0521630487060545
48,4.047965204467774
49,4.048909178466797
50,4.048134842529297
51,4.0440855316162105
52,4.04558267944336
53,4.042752026367188
54,4.038844312744141
55,4.041567340698242
56,4.039090748291016
57,4.036729170532227
58,4.034835695800782
59,4.033111519165039
60,4.03429064086914
61,4.030633159179687
62,4.033372699584961
63,4.028228201293945
64,4.029600225219727
65,4.028424265136719
66,4.0245620129394535
67,4.0275622814941405
68,4.022906042480469
69,4.026206393432617
70,4.01754142578125
71,4.021820333862305
72,4.01788774230957
73,4.017287989501953
74,4.012882282104492
75,4.013959805297851
76,4.0127872064208985
77,4.011282457885742
78,4.0136235571289065
79,4.008644340820313
80,4.011109786987305
81,4.00829849975586
82,4.006940838012695
83,4.009341115112305
84,4.008170897216797
85,4.003194784545898
86,4.0002207720947265
87,4.004973348999023
88,4.00458997253418
89,4.0031232458496095
90,3.999786770629883
91,4.003337475585938
92,4.001787835693359
93,4.002169263916016
94,3.9982529681396484
95,3.997504454345703
96,3.9983846911621095
97,3.9949782995605467
98,3.9962366174316406
99,3.9961146173095705
100,3.995835883178711
101,3.9913546826171875
102,3.9925729302978517
103,3.9929317742919923
104,3.992363525390625
105,3.9877637182617187
106,3.990319779663086
107,3.9922733154296877
108,3.9887510040283205
109,3.987494956665039
110,3.9872708795166014
111,3.9876734808349608
112,3.984832604370117
113,3.9885361895751954
114,3.9841971270751952
115,3.983607142944336
116,3.9840872790527344
117,3.9825159271240236
118,3.982512123413086
119,3.983953289794922
120,3.9838971893310546
121,3.9829071160888674
122,3.9800134881591798
123,3.981014354248047
124,3.977678121948242
125,3.976007900390625
126,3.9785168084716798
127,3.976329387817383
128,3.9770201763916018
129,3.977087548828125
130,3.9751457647705077
131,3.9779585369873045
