Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,2.333799560546875,0.150390625,41.5,79.22
2,2.1490927734375,0.4765625,55.269999999999996,88.78
3,1.984495361328125,0.5703125,59.95,92.06
4,1.8381553955078125,0.611328125,62.73,95.07
5,1.722274658203125,0.63671875,65.0,96.49
6,1.5958108520507812,0.611328125,66.75,97.0
7,1.5090785522460937,0.650390625,67.92,97.09
8,1.4171058959960938,0.673828125,68.7,97.22
9,1.3609703979492187,0.654296875,69.39999999999999,97.36
10,1.2809544677734375,0.677734375,69.81,97.34
11,1.2163114624023437,0.68359375,70.09,97.27
12,1.156490234375,0.693359375,70.27,97.28
13,1.1500601806640625,0.67578125,70.39999999999999,97.36
14,1.0972990112304688,0.6640625,70.63000000000001,97.44
15,1.0575911865234375,0.693359375,70.85000000000001,97.49
16,1.0189634399414063,0.70703125,71.31,97.6
17,1.0590479736328124,0.669921875,71.61999999999999,97.63
18,1.0109705810546874,0.693359375,71.78999999999999,97.58
19,0.9840887451171875,0.6875,71.98,97.66
20,0.9825527648925781,0.693359375,72.23,97.68
21,0.9411479797363281,0.716796875,72.31,97.78
22,0.9256784973144532,0.701171875,72.57000000000001,97.86
23,0.9441929931640625,0.6875,72.78,97.92
24,0.9412877502441406,0.693359375,72.82,97.91
25,0.8592670593261719,0.736328125,72.91,97.94
26,0.8885116882324219,0.712890625,73.06,97.91
27,0.8591737976074219,0.72265625,73.22999999999999,97.97
28,0.8940024719238281,0.69140625,73.35000000000001,97.98
29,0.8368201599121093,0.740234375,73.36,98.00999999999999
30,0.8313544006347656,0.734375,73.58,98.06
31,0.8173779296875,0.7421875,73.65,98.09
32,0.8036109008789063,0.72265625,73.68,98.11
33,0.877086181640625,0.71875,73.72999999999999,98.1
34,0.8395691528320313,0.708984375,73.85000000000001,98.15
35,0.8007743225097657,0.734375,73.88,98.2
36,0.8008426208496093,0.724609375,74.05000000000001,98.17
37,0.7501113891601563,0.767578125,74.11,98.17
38,0.7615945434570313,0.740234375,74.26,98.14
39,0.7718059692382813,0.72265625,74.33,98.15
40,0.7708222351074219,0.748046875,74.3,98.14
41,0.8182467346191407,0.732421875,74.21,98.15
42,0.7714064636230469,0.736328125,74.3,98.21
43,0.7540103454589844,0.736328125,74.33999999999999,98.19
44,0.7204537963867188,0.755859375,74.53,98.19
45,0.7541327514648437,0.763671875,74.72999999999999,98.21
46,0.7635226440429688,0.744140625,74.79,98.16
47,0.7428241882324219,0.728515625,74.66000000000001,98.18
48,0.7630185241699219,0.744140625,74.79,98.16
49,0.736033447265625,0.74609375,74.67,98.18
50,0.7427005310058594,0.74609375,74.62,98.16
51,0.7815163879394531,0.72265625,74.74,98.19
52,0.7493424377441407,0.75,74.66000000000001,98.16
53,0.7149148559570313,0.759765625,74.79,98.18
54,0.7458999938964844,0.716796875,74.96000000000001,98.18
55,0.7251568603515625,0.7421875,74.92,98.22999999999999
56,0.6873506164550781,0.76171875,75.03,98.26
57,0.6826714477539062,0.775390625,75.22999999999999,98.25
58,0.7555140686035157,0.763671875,75.14999999999999,98.24000000000001
59,0.7227277221679688,0.751953125,75.05,98.28
60,0.7237135620117188,0.759765625,75.16000000000001,98.27
61,0.7087902526855469,0.75390625,75.27000000000001,98.27
62,0.7165108642578125,0.77734375,75.26,98.27
63,0.6809735107421875,0.7734375,75.21,98.24000000000001
64,0.7014264526367188,0.759765625,75.14999999999999,98.22
65,0.6719559326171874,0.775390625,74.99,98.25
66,0.683251708984375,0.76953125,75.03,98.25
67,0.6880919799804688,0.76171875,75.0,98.22
68,0.7150539855957031,0.73828125,75.12,98.25
69,0.6802149963378906,0.755859375,75.14,98.24000000000001
70,0.6593904113769531,0.767578125,75.41,98.26
71,0.6706654052734375,0.775390625,75.48,98.25
72,0.6883215637207031,0.787109375,75.33,98.29
73,0.6830565490722657,0.771484375,75.42,98.3
74,0.7274432067871094,0.7421875,75.48,98.22999999999999
75,0.6564578857421876,0.798828125,75.4,98.25
76,0.6580972900390625,0.755859375,75.27000000000001,98.27
77,0.6494901123046875,0.7578125,75.2,98.28
78,0.6743768005371094,0.771484375,75.2,98.29
79,0.6305381164550782,0.779296875,75.18,98.22999999999999
80,0.6645165405273438,0.765625,75.26,98.22
81,0.6527697143554687,0.763671875,75.21,98.22
82,0.6197475738525391,0.79296875,75.33999999999999,98.3
83,0.6603860778808593,0.783203125,75.37,98.35000000000001
84,0.6882743225097656,0.75390625,75.5,98.34
85,0.6492944946289062,0.755859375,75.51,98.35000000000001
86,0.6420730895996094,0.7734375,75.58,98.38
87,0.6386233215332031,0.7890625,75.56,98.36
88,0.6407068786621094,0.7734375,75.41,98.35000000000001
89,0.6403983459472656,0.775390625,75.41,98.31
90,0.6138287963867187,0.80078125,75.33,98.27
91,0.5962314147949219,0.79296875,75.14999999999999,98.25
92,0.6583009033203125,0.767578125,74.98,98.22
93,0.6360492553710938,0.76953125,74.94,98.24000000000001
94,0.6476268920898437,0.77734375,75.09,98.26
95,0.6021631774902344,0.798828125,75.4,98.3
96,0.5662377624511719,0.814453125,75.39,98.3
97,0.6238483276367187,0.794921875,75.42,98.28
98,0.6153077392578125,0.796875,75.42,98.29
99,0.6202705993652343,0.783203125,75.47,98.29
100,0.6790118103027344,0.767578125,75.51,98.28
101,0.6055125122070313,0.79296875,75.42,98.3
102,0.6095898132324219,0.798828125,75.46000000000001,98.31
103,0.5747140197753906,0.8125,75.51,98.33
104,0.5999516296386719,0.791015625,75.49,98.26
105,0.6134349365234375,0.810546875,75.44,98.24000000000001
106,0.6183785705566406,0.787109375,75.42,98.22
107,0.6274118957519531,0.78515625,75.46000000000001,98.22999999999999
108,0.5822109680175781,0.78125,75.42999999999999,98.22
109,0.6095995178222656,0.783203125,75.3,98.25
110,0.624353515625,0.7734375,75.59,98.26
111,0.585459228515625,0.80078125,75.49,98.28
112,0.5697344360351563,0.796875,75.48,98.28
113,0.6250488891601562,0.787109375,75.46000000000001,98.29
114,0.6490560607910156,0.7734375,75.44999999999999,98.28
115,0.59538720703125,0.78125,75.44,98.22
116,0.5588418273925781,0.78515625,75.42,98.19
117,0.6439740600585937,0.791015625,75.39,98.14
118,0.6139040222167969,0.779296875,75.49,98.13
119,0.5781340637207031,0.80859375,75.52,98.15
120,0.59763623046875,0.78515625,75.59,98.24000000000001
121,0.5851914367675781,0.796875,75.69,98.25
122,0.6504647521972656,0.779296875,75.51,98.29
123,0.5679421691894532,0.8046875,75.51,98.29
124,0.5931141052246094,0.78125,75.61,98.27
125,0.5927709350585938,0.78515625,75.62,98.27
126,0.54324853515625,0.80859375,75.69,98.25
127,0.6888445434570313,0.76953125,75.56,98.22
128,0.5739580993652343,0.81640625,75.53,98.11
129,0.6329205932617188,0.78125,75.5,98.15
130,0.5880627136230469,0.794921875,75.52,98.15
131,0.5914768676757812,0.78125,75.4,98.13
132,0.5616184387207032,0.818359375,75.46000000000001,98.2
133,0.5834388122558594,0.802734375,75.53,98.26
