Epoch,Loss,Accuracy,Top1 Acc,Top5 Acc
1,0.9108453109741211,0.7525310905612245,83.44,99.36
2,0.6233432554626465,0.7883450255102041,84.96000000000001,99.44
3,0.5907011575317382,0.7970145089285714,85.42,99.55000000000001
4,0.5769710876464844,0.8002630739795918,86.53,99.67
5,0.5684139727783203,0.8033920599489796,86.4,99.58
6,0.55747803024292,0.8071588010204082,86.67,99.62
7,0.5585551182556152,0.8038504464285714,86.66,99.62
8,0.5502242427062989,0.8071388711734694,86.97,99.61
9,0.5405176217651367,0.810905612244898,87.09,99.6
10,0.5383568153381347,0.8127790178571429,87.47,99.66000000000001
11,0.5400993420410156,0.8135164221938775,87.46000000000001,99.61
12,0.5438908178710937,0.8104671556122449,87.42,99.64
13,0.5276909992980957,0.8161272321428571,87.42,99.64
14,0.5338558352661132,0.8138751594387755,87.37,99.65
15,0.530731012878418,0.8141342474489796,87.52,99.61
16,0.5285875906372071,0.8173429528061225,87.67,99.65
17,0.5314177937316894,0.8159080038265306,87.61,99.64
18,0.5256903120422364,0.8178611288265306,87.96000000000001,99.62
19,0.5246696528625489,0.815788424744898,87.67,99.64
20,0.5249272146606445,0.8165258290816326,88.03999999999999,99.65
21,0.5207684942626953,0.8181999362244898,87.96000000000001,99.65
22,0.5202903680419921,0.8184590242346939,87.62,99.65
23,0.5184505731201172,0.8177216198979592,87.78,99.62
24,0.5172242794799805,0.8183195153061225,87.92999999999999,99.67
25,0.5174995257568359,0.8193160076530612,88.0,99.68
26,0.5197198629760742,0.8173828125,87.94,99.62
27,0.5162807023620606,0.8208506058673469,87.78,99.64
28,0.5147908827209473,0.8187779017857143,87.9,99.66000000000001
29,0.5140777500915528,0.8217275191326531,87.96000000000001,99.68
30,0.5139031541442871,0.8206313775510204,88.12,99.64
31,0.5102029359436036,0.8205117984693877,88.05,99.63
32,0.5157616624450684,0.8208904655612245,87.91,99.6
33,0.5147594505310059,0.8184191645408163,87.96000000000001,99.65
34,0.5123874569702148,0.8203324298469388,88.13,99.7
35,0.5108842727661133,0.8200932716836735,88.01,99.61
36,0.5093160310363769,0.8208705357142857,88.26,99.72999999999999
37,0.5123751231384277,0.8208705357142857,88.33,99.66000000000001
38,0.5060751641845703,0.8221061862244898,88.22,99.67
39,0.5057506526184082,0.8249760841836735,88.17,99.65
40,0.5103766647338868,0.8211495535714286,88.34,99.66000000000001
41,0.5096627824401856,0.8240593112244898,88.16000000000001,99.7
42,0.5029857095336914,0.8228635204081632,88.27000000000001,99.63
43,0.510075948638916,0.822883450255102,87.96000000000001,99.65
44,0.5098975393676758,0.8207908163265306,88.29,99.67
45,0.5030854379272461,0.8233816964285714,88.11,99.67
46,0.4990738426208496,0.8240194515306123,88.13,99.67
47,0.5058095333862305,0.8221460459183674,88.16000000000001,99.65
48,0.5128141067504883,0.8205317283163265,88.44999999999999,99.68
49,0.5059017973327636,0.8226841517857143,88.18,99.62
50,0.5036607559204102,0.8241191007653061,88.29,99.67
51,0.5035138194274902,0.8261120854591837,88.4,99.67
52,0.4978262483215332,0.8230428890306123,88.38000000000001,99.68
53,0.5018448518371582,0.8249162946428571,88.61,99.65
54,0.49815520584106443,0.824836575255102,88.21,99.66000000000001
55,0.5020550334167481,0.8235809948979592,88.25,99.67
56,0.5024587202453613,0.8242984693877551,88.53999999999999,99.65
57,0.49928821105957033,0.8258729272959183,88.05,99.61
58,0.5018126190185547,0.8234813456632653,88.24,99.66000000000001
59,0.504533387145996,0.8242984693877551,88.44999999999999,99.6
60,0.5075617892456055,0.8238998724489796,88.18,99.62
61,0.5028482102966308,0.8256536989795918,88.42,99.65
62,0.5025259846496583,0.8245176977040817,88.66000000000001,99.68
63,0.5015020333862305,0.8249362244897959,88.42999999999999,99.63
64,0.4965391746520996,0.8258729272959183,88.42,99.67
65,0.49726284454345704,0.8259526466836735,88.03,99.65
66,0.5016739744567871,0.8232820471938775,88.64,99.69
67,0.5061125227355957,0.8226642219387755,88.57000000000001,99.66000000000001
68,0.49803920516967776,0.8253148915816326,88.53,99.64
69,0.4953491940307617,0.8249960140306123,88.38000000000001,99.62
70,0.5038720123291016,0.8248764349489796,88.44,99.6
71,0.49317438369750977,0.8277861926020408,88.06,99.63
72,0.498472400970459,0.8246970663265306,88.68,99.65
73,0.4919220016479492,0.8269292091836735,88.69,99.64
74,0.49709874908447266,0.8254942602040817,88.22,99.57000000000001
75,0.5033427601623535,0.8240393813775511,88.61,99.65
76,0.49978513458251955,0.8247967155612245,88.53999999999999,99.61
77,0.4920885827636719,0.8288225446428571,88.55,99.69
78,0.4950398484802246,0.8261320153061225,88.35,99.64
79,0.4950087602233887,0.8259327168367347,88.59,99.62
80,0.49908393005371093,0.8260323660714286,88.52,99.65
81,0.498912607421875,0.8260124362244898,88.42999999999999,99.6
82,0.4979263116455078,0.8253148915816326,88.56,99.61
83,0.4938237837219238,0.8272480867346939,88.73,99.63
84,0.49671497543334964,0.8254344706632653,88.68,99.62
85,0.4953775112915039,0.8260722257653061,88.41,99.61
86,0.5000707838439942,0.8257134885204082,88.39,99.62
87,0.49281459381103515,0.8274673150510204,88.83,99.61
88,0.4985579954528809,0.8237005739795918,88.41,99.62
89,0.5000716609191894,0.8250956632653061,88.73,99.61
90,0.49594778244018556,0.8250358737244898,88.64,99.65
